Heure,Protocole,Source,Destination,Drapeaux TCP,Numéro de séquence,Numéro d'accusé de réception,Taille de la fenêtre de réception,Longueur
11:42:06.682108,11,gba.solunet.com.ar.2515,107.43.74.http,P.,1444571600,36,512,120
11:42:06.682125,11,gba.solunet.com.ar.2516,107.43.74.http,P.,702975955,36,512,120
11:42:06.682152,11,gba.solunet.com.ar.2517,107.43.74.http,P.,2016486038,36,512,120
11:42:06.682172,11,gba.solunet.com.ar.2518,107.43.74.http,P.,1002497398,36,512,120
11:42:06.682191,11,gba.solunet.com.ar.2519,107.43.74.http,P.,294189577,36,512,120
11:42:06.682210,11,gba.solunet.com.ar.2520,107.43.74.http,P.,1398461889,36,512,120
11:42:06.682227,11,gba.solunet.com.ar.2521,107.43.74.http,P.,1995017329,36,512,120
11:42:06.682243,11,gba.solunet.com.ar.2522,107.43.74.http,P.,921320533,36,512,120
11:42:06.682259,11,gba.solunet.com.ar.2523,107.43.74.http,P.,248505708,36,512,120
11:42:06.682276,11,gba.solunet.com.ar.2524,107.43.74.http,P.,558621145,36,512,120
11:42:06.682292,11,gba.solunet.com.ar.2525,107.43.74.http,P.,1118905776,36,512,120
11:42:06.682308,11,gba.solunet.com.ar.2526,107.43.74.http,P.,1158043116,36,512,120
11:42:06.682325,11,gba.solunet.com.ar.2527,107.43.74.http,P.,1469406826,36,512,120
11:42:06.682341,11,gba.solunet.com.ar.2528,107.43.74.http,P.,492373102,36,512,120
11:42:06.682357,11,gba.solunet.com.ar.2529,107.43.74.http,P.,1687855121,36,512,120
11:42:06.682374,11,gba.solunet.com.ar.2530,107.43.74.http,P.,1360633195,36,512,120
11:42:06.682390,11,gba.solunet.com.ar.2531,107.43.74.http,P.,1274977706,36,512,120
11:42:06.682407,11,gba.solunet.com.ar.2532,107.43.74.http,P.,549939990,36,512,120
11:42:06.682423,11,gba.solunet.com.ar.2533,107.43.74.http,P.,1109408249,36,512,120
11:42:06.682439,11,gba.solunet.com.ar.2534,107.43.74.http,P.,1283855019,36,512,120
11:42:06.682455,11,gba.solunet.com.ar.2535,107.43.74.http,P.,623143483,36,512,120
11:42:06.682472,11,gba.solunet.com.ar.2536,107.43.74.http,P.,709005792,36,512,120
11:42:06.682488,11,gba.solunet.com.ar.2537,107.43.74.http,P.,1528805205,36,512,120
11:42:06.682504,11,gba.solunet.com.ar.2538,107.43.74.http,P.,940059508,36,512,120
11:42:06.682521,11,gba.solunet.com.ar.2539,107.43.74.http,P.,1190337142,36,512,120
11:42:06.682537,11,gba.solunet.com.ar.2540,107.43.74.http,P.,1484037464,36,512,120
11:42:06.682553,11,gba.solunet.com.ar.2541,107.43.74.http,P.,566224598,36,512,120
11:42:06.682570,11,gba.solunet.com.ar.2542,107.43.74.http,P.,788308167,36,512,120
11:42:06.682586,11,gba.solunet.com.ar.2543,107.43.74.http,P.,96067834,36,512,120
11:42:06.682602,11,gba.solunet.com.ar.2544,107.43.74.http,P.,1226579504,36,512,120
11:42:06.682619,11,gba.solunet.com.ar.2545,107.43.74.http,P.,1551737466,36,512,120
11:42:06.682635,11,gba.solunet.com.ar.2546,107.43.74.http,P.,368629672,36,512,120
